SA2,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
Braidwood,306,14,3,5,11,0,7,3,6,0,39,377
Karabar,887,20,30,0,36,5,25,13,9,0,82,1107
Queanbeyan,1199,46,40,31,88,43,213,19,19,0,160,1855
Queanbeyan - East,507,8,15,6,31,22,120,10,4,3,48,768
Queanbeyan Region,1702,85,23,6,29,12,26,30,16,0,202,2136
Queanbeyan West - Jerrabomberra,1462,66,38,5,45,16,38,29,11,0,73,1780
Bombala,183,5,0,0,3,8,0,4,0,0,22,219
Cooma,608,22,6,0,14,8,3,0,3,0,51,720
Cooma Region,235,8,0,0,5,0,0,3,0,0,36,288
Jindabyne - Berridale,712,35,5,5,21,29,0,18,8,0,94,920
Batemans Bay,589,6,3,3,13,4,11,8,3,0,61,707
Batemans Bay - South,590,15,11,0,22,9,8,11,9,0,58,721
Bega - Tathra,691,25,0,0,26,10,10,12,8,0,76,849
Bega-Eden Hinterland,634,21,5,0,6,0,0,11,0,0,67,745
Broulee - Tomakin,238,9,0,0,4,0,0,0,0,0,20,269
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0
Eden,249,6,0,0,9,9,0,0,0,0,32,308
Eurobodalla Hinterland,226,3,0,0,0,0,0,0,0,0,20,263
Merimbula - Tura Beach,731,24,9,0,24,11,4,18,3,0,69,889
Moruya - Tuross Head,568,13,3,0,17,4,9,7,3,0,50,678
Narooma - Bermagui,544,17,0,0,12,3,4,6,0,0,57,641
Goulburn,2279,42,17,14,73,43,62,20,24,0,197,2773
Goulburn Region,1038,34,9,5,11,14,3,5,7,0,99,1226
Yass,681,27,0,0,10,0,10,7,7,0,40,777
Yass Region,1142,43,14,0,17,10,0,16,4,0,104,1348
Young,997,12,7,16,6,16,12,0,3,0,93,1169
Young Region,573,10,5,4,6,9,6,3,3,0,56,679
