SA2,Nil distance,Over 0 km to less than 2.5 km,2.5 km to less than 10 km,10 km to less than 30 km,30 km to less than 50 km,50 km to less than 250 km,250 km and over,Not applicable,Total
Braidwood,31,49,11,30,4,108,8,140,377
Karabar,25,79,204,509,9,3,0,280,1107
Queanbeyan,32,255,277,756,7,4,9,523,1855
Queanbeyan - East,11,87,124,334,5,4,4,202,768
Queanbeyan Region,95,52,59,673,607,149,20,478,2136
Queanbeyan West - Jerrabomberra,56,43,228,1061,15,0,21,357,1780
Bombala,0,68,20,24,13,20,3,71,219
Cooma,20,256,162,0,5,34,0,229,720
Cooma Region,23,5,34,53,32,59,6,79,288
Jindabyne - Berridale,73,152,110,123,164,78,35,187,920
Batemans Bay,22,56,195,110,26,11,0,276,707
Batemans Bay - South,21,36,225,132,19,14,3,261,721
Bega - Tathra,42,175,145,141,39,18,5,286,849
Bega-Eden Hinterland,48,15,43,213,103,37,7,275,745
Broulee - Tomakin,16,37,18,122,0,3,3,68,269
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0
Eden,7,96,30,38,4,14,0,125,308
Eurobodalla Hinterland,26,11,19,88,19,14,4,83,263
Merimbula - Tura Beach,55,114,219,105,123,11,8,259,889
Moruya - Tuross Head,22,110,97,151,48,16,6,226,678
Narooma - Bermagui,39,101,130,34,49,37,10,249,641
Goulburn,89,602,889,27,33,233,9,896,2773
Goulburn Region,77,83,77,224,198,205,10,359,1226
Yass,32,187,79,7,5,257,11,200,777
Yass Region,85,20,25,212,499,200,7,308,1348
Young,50,353,231,37,25,30,9,433,1169
Young Region,33,79,32,111,73,82,11,251,679
Avoca Beach - Copacabana,99,38,74,280,23,108,6,244,863
Box Head - MacMasters Beach,91,22,133,293,28,188,4,295,1048
Calga - Kulnura,68,4,32,78,60,64,4,159,471
Erina - Green Point,104,118,364,195,20,144,0,379,1317
Gosford - Springfield,96,315,600,298,42,432,4,878,2660
Kariong,45,30,140,137,71,160,0,240,827
Kincumber - Picketts Valley,40,51,119,226,14,88,5,184,729
Narara,36,20,257,125,16,138,0,237,833
Niagara Park - Lisarow,46,32,237,217,13,144,0,263,945
Point Clare - Koolewong,37,25,153,84,16,171,0,223,709
Saratoga - Davistown,52,32,132,241,13,110,4,206,790
Terrigal - North Avoca,119,82,281,470,24,225,9,422,1623
Umina - Booker Bay - Patonga,135,200,273,474,99,476,13,1010,2671
Wamberal - Forresters Beach,98,26,225,386,6,147,6,296,1185
