SA2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Total
Braidwood,17,16,89,41,50,91,0,7,11,49,377
Karabar,38,40,188,144,179,365,0,40,29,83,1107
Queanbeyan,160,76,452,202,257,443,5,23,48,183,1855
Queanbeyan - East,68,29,216,79,99,186,0,14,9,64,768
Queanbeyan Region,144,112,546,314,280,468,0,12,54,203,2136
Queanbeyan West - Jerrabomberra,147,90,461,256,271,397,5,19,37,98,1780
Bombala,3,6,37,34,45,74,0,7,9,11,219
Cooma,25,15,122,87,142,209,0,23,21,73,720
Cooma Region,6,3,56,45,49,71,0,9,12,27,288
Jindabyne - Berridale,32,18,214,122,161,228,0,3,34,94,920
Batemans Bay,8,13,81,81,138,238,3,45,32,68,707
Batemans Bay - South,12,21,121,82,160,202,0,17,21,76,721
Bega - Tathra,29,27,177,83,152,249,0,24,27,78,849
Bega-Eden Hinterland,21,23,133,86,149,211,0,14,36,73,745
Broulee - Tomakin,8,9,72,38,46,55,0,3,4,24,269
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0
Eden,9,3,42,26,62,114,0,11,6,38,308
Eurobodalla Hinterland,6,5,35,22,58,79,0,9,13,24,263
Merimbula - Tura Beach,29,26,177,109,172,242,0,24,41,70,889
Moruya - Tuross Head,19,16,118,71,149,174,0,41,23,64,678
Narooma - Bermagui,13,10,98,84,155,187,0,16,19,63,641
Goulburn,83,55,401,370,599,838,4,110,100,216,2773
Goulburn Region,30,34,221,165,273,299,3,25,51,122,1226
Yass,36,28,204,93,137,200,5,19,18,43,777
Yass Region,113,73,353,160,193,307,0,20,19,108,1348
Young,20,26,187,121,226,392,0,58,43,101,1169
Young Region,19,5,133,87,143,181,0,23,23,59,679
Avoca Beach - Copacabana,51,39,281,124,121,157,0,6,22,51,863
Box Head - MacMasters Beach,41,32,277,178,182,236,0,11,37,50,1048
Calga - Kulnura,14,9,96,71,84,134,0,9,16,46,471
Erina - Green Point,76,43,349,205,208,305,0,16,34,80,1317
Gosford - Springfield,169,61,727,327,473,553,5,52,77,214,2660
Kariong,35,20,177,143,162,205,6,12,33,39,827
Kincumber - Picketts Valley,27,23,171,119,126,187,0,17,21,35,729
Narara,36,21,199,139,162,210,0,9,20,28,833
Niagara Park - Lisarow,47,28,225,139,193,230,0,13,28,38,945
Point Clare - Koolewong,45,27,201,115,121,135,0,10,14,37,709
Saratoga - Davistown,27,23,212,122,134,199,0,8,16,50,790
Terrigal - North Avoca,111,57,502,221,241,327,0,14,45,101,1623
Umina - Booker Bay - Patonga,112,49,466,397,525,743,0,65,91,220,2671
Wamberal - Forresters Beach,78,29,380,196,175,210,0,10,37,71,1185
Woy Woy - Blackwall,77,44,273,221,303,394,0,44,53,118,1519
Wyoming,57,31,311,212,276,315,0,37,30,82,1354
Bateau Bay - Killarney Vale,58,45,533,399,578,717,6,73,84,180,2668
Blue Haven - San Remo,9,18,130,187,438,497,3,58,61,88,1486
Budgewoi - Buff Point - Halekulani,11,14,133,151,268,302,0,28,38,71,1008
Chittaway Bay - Tumbi Umbi,47,35,376,301,408,477,0,40,72,87,1843
Gorokan - Kanwal - Charmhaven,31,38,291,339,579,812,7,98,83,220,2491
Jilliby - Yarramalong,13,11,81,59,59,82,0,10,24,38,368
Lake Munmorah - Mannering Park,15,17,134,140,260,313,0,26,31,76,1008
Ourimbah - Fountaindale,32,10,151,93,102,151,0,5,18,30,600
Summerland Point - Gwandalan,7,8,78,82,157,221,0,12,27,31,626
The Entrance,57,37,315,220,340,495,4,67,72,157,1759
Toukley - Norah Head,18,26,160,134,251,287,3,30,31,72,1001
Tuggerah - Kangy Angy,32,11,166,88,135,208,0,15,26,43,731
Warnervale - Wadalba,71,39,369,352,467,609,0,59,85,97,2149
Wyong,24,17,131,133,226,325,0,60,48,102,1070
Bathurst,155,92,702,306,498,748,4,68,98,198,2873
Bathurst - East,44,40,320,176,301,350,0,47,47,86,1411
Bathurst Region,24,21,148,69,108,148,0,11,20,60,609
Oberon,9,6,58,47,61,160,0,11,21,51,427
Condobolin,10,14,144,63,123,243,0,27,18,111,756
Cowra,14,16,132,86,206,281,0,46,38,100,912
Cowra Region,6,5,93,69,86,145,0,18,12,53,489
Forbes,23,31,210,108,221,302,4,31,34,108,1066
Grenfell,7,10,78,41,65,83,0,10,5,34,328
Parkes (NSW),29,27,231,126,292,360,0,40,40,121,1275
Parkes Region,7,5,69,25,58,85,0,11,11,38,303
West Wyalong,17,6,126,50,103,199,0,22,24,79,624
Lithgow,28,23,170,129,278,508,3,57,42,146,1376
Lithgow Region,17,19,115,91,172,250,0,32,28,130,857
Mudgee,47,28,323,166,308,427,0,44,43,148,1533
Mudgee Region - East,5,4,38,20,57,112,0,15,9,32,299
Mudgee Region - West,21,22,161,106,204,309,0,54,34,153,1060
Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0
Blayney,21,21,176,88,186,221,4,22,31,72,847
Orange,118,66,507,263,456,548,5,90,82,205,2334
Orange - North,164,86,740,367,570,622,5,68,96,188,2918
Orange Region,48,34,337,146,222,309,6,23,35,104,1252
Grafton,31,34,300,202,497,646,7,68,75,189,2049
Grafton Region,20,16,197,138,328,392,0,72,51,158,1369
Maclean - Yamba - Iluka,49,36,252,133,286,349,0,34,49,119,1315
Bellingen,30,13,200,91,84,147,0,13,28,46,642
Coffs Harbour - North,57,36,400,297,381,529,10,86,99,176,2066
Coffs Harbour - South,44,13,267,149,213,267,4,45,61,100,1174
Coramba - Nana Glen - Bucca,14,14,87,58,74,106,0,7,16,42,428
