SA2,Fully engaged,Partially engaged,At least partially engaged,Not Engaged,Engagement status undetermined/Not Stated,Total
Braidwood,146,88,20,79,42,377
Karabar,540,249,61,191,63,1107
Queanbeyan,951,356,102,276,168,1855
Queanbeyan - East,424,144,38,109,49,768
Queanbeyan Region,1069,507,155,213,184,2136
Queanbeyan West - Jerrabomberra,960,440,83,222,72,1780
Bombala,80,64,16,53,9,219
Cooma,289,211,35,138,53,720
Cooma Region,128,81,14,39,25,288
Jindabyne - Berridale,456,267,44,69,85,920
Batemans Bay,213,226,22,188,51,707
Batemans Bay - South,248,227,29,157,54,721
Bega - Tathra,286,270,47,183,58,849
Bega-Eden Hinterland,238,230,32,183,60,745
Broulee - Tomakin,103,92,12,40,16,269
Deua - Wadbilliga,0,0,0,0,0,0
Eden,89,96,12,87,22,308
Eurobodalla Hinterland,61,108,21,53,19,263
Merimbula - Tura Beach,325,305,42,160,55,889
Moruya - Tuross Head,223,236,26,143,45,678
Narooma - Bermagui,197,206,27,156,61,641
Goulburn,1116,766,131,593,167,2773
Goulburn Region,461,387,73,210,91,1226
Yass,364,200,54,130,35,777
Yass Region,659,355,80,176,86,1348
Young,385,371,42,303,76,1169
Young Region,248,181,30,170,47,679
Avoca Beach - Copacabana,335,294,47,136,41,863
Box Head - MacMasters Beach,397,364,49,200,40,1048
Calga - Kulnura,189,123,21,95,39,471
Erina - Green Point,520,424,71,241,60,1317
Gosford - Springfield,1176,668,109,528,168,2660
Kariong,346,240,41,172,32,827
Kincumber - Picketts Valley,277,245,47,136,18,729
Narara,349,259,36,166,21,833
Niagara Park - Lisarow,387,298,50,193,26,945
Point Clare - Koolewong,295,205,36,151,31,709
Saratoga - Davistown,317,275,44,134,26,790
Terrigal - North Avoca,739,469,72,261,78,1623
Umina - Booker Bay - Patonga,920,798,123,660,165,2671
Wamberal - Forresters Beach,459,419,81,173,49,1185
Woy Woy - Blackwall,579,398,88,372,83,1519
Wyoming,554,396,48,292,62,1354
Bateau Bay - Killarney Vale,974,865,132,558,137,2668
Blue Haven - San Remo,513,450,65,406,61,1486
Budgewoi - Buff Point - Halekulani,340,311,46,250,59,1008
Chittaway Bay - Tumbi Umbi,756,580,88,352,63,1843
Gorokan - Kanwal - Charmhaven,876,689,101,668,162,2491
Jilliby - Yarramalong,138,110,23,65,28,368
Lake Munmorah - Mannering Park,358,327,38,229,51,1008
Ourimbah - Fountaindale,265,189,20,108,14,600
Summerland Point - Gwandalan,222,222,28,132,28,626
The Entrance,617,493,83,443,129,1759
Toukley - Norah Head,324,312,45,264,52,1001
Tuggerah - Kangy Angy,294,216,19,160,42,731
Warnervale - Wadalba,873,663,110,453,60,2149
Wyong,366,273,30,331,73,1070
Bathurst,1262,808,131,513,162,2873
Bathurst - East,595,438,76,248,59,1411
Bathurst Region,242,190,30,101,45,609
Oberon,153,123,18,95,39,427
Condobolin,226,195,52,191,88,756
Cowra,282,282,34,238,71,912
Cowra Region,166,163,19,99,43,489
Forbes,373,324,60,221,84,1066
Grenfell,112,118,14,70,25,328
Parkes (NSW),449,371,55,305,98,1275
Parkes Region,94,79,18,77,33,303
West Wyalong,214,190,22,140,62,624
Lithgow,419,408,74,357,117,1376
Lithgow Region,282,242,53,176,112,857
Mudgee,507,481,70,354,122,1533
Mudgee Region - East,75,75,13,111,31,299
Mudgee Region - West,286,313,54,286,123,1060
Wollangambe - Wollemi,0,0,0,0,0,0
Blayney,307,260,34,181,64,847
Orange,972,579,91,518,171,2334
Orange - North,1301,826,135,505,147,2918
Orange Region,490,401,75,203,78,1252
Grafton,693,589,70,550,151,2049
Grafton Region,394,365,63,418,128,1369
Maclean - Yamba - Iluka,415,433,50,334,87,1315
Bellingen,178,229,33,157,42,642
Coffs Harbour - North,810,607,79,431,136,2066
Coffs Harbour - South,477,361,38,216,83,1174
Coramba - Nana Glen - Bucca,137,144,24,84,41,428
Dorrigo,57,79,14,83,17,256
Korora - Emerald Beach,411,330,43,179,59,1019
Sawtell - Boambee,790,728,75,451,77,2125
Urunga,134,114,12,85,28,373
Woolgoolga - Arrawarra,511,415,60,319,103,1414
Bourke - Brewarrina,214,72,14,137,67,506
Cobar,228,143,34,157,73,635
Coonamble,157,92,28,111,72,458
Nyngan - Warren,200,153,17,116,55,539
