SA2,"Agriculture, Forestry and Fishing",Mining,Manufacturing,"Electricity, Gas, Water and Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,"Transport, Postal and Warehousing",Information Media and Telecommunications,Financial and Insurance Services,"Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services",Administrative and Support Services,Public Administration and Safety,Education and Training,Health Care and Social Assistance,Arts and Recreation Services,Other Services,Inadequately described,Not stated,Not applicable,Total
Braidwood,9,0,11,0,3,4,12,17,7,5,7,4,19,9,41,32,26,8,13,9,3,137,377
Karabar,5,0,17,5,15,8,74,37,24,8,13,15,47,36,265,83,142,5,29,9,9,268,1107
Queanbeyan,0,0,25,6,29,14,106,72,20,23,28,26,84,41,366,120,272,21,44,25,20,507,1855
Queanbeyan - East,0,0,9,0,8,10,59,44,4,8,13,22,36,14,166,45,99,7,15,8,4,195,768
Queanbeyan Region,6,5,18,17,48,18,65,49,31,20,40,39,129,34,611,201,236,25,53,33,6,444,2136
Queanbeyan West - Jerrabomberra,6,0,20,5,24,11,71,50,21,10,26,34,126,29,549,177,183,15,60,18,10,337,1780
Bombala,13,0,12,0,0,3,24,13,0,0,4,0,8,3,16,22,25,0,6,0,0,67,219
Cooma,5,0,15,19,12,3,85,57,7,5,7,8,31,15,44,57,102,8,16,9,6,215,720
Cooma Region,17,0,9,6,8,5,19,15,6,0,0,5,20,0,38,30,25,3,7,0,0,70,288
Jindabyne - Berridale,12,3,17,5,15,8,56,190,8,4,18,22,33,38,48,89,63,69,23,9,4,175,920
Batemans Bay,4,0,9,0,12,0,64,74,7,3,4,14,18,24,38,52,88,3,21,11,3,267,707
Batemans Bay - South,0,0,5,0,6,0,83,56,4,7,11,13,21,25,42,67,99,11,23,3,9,245,721
Bega - Tathra,3,0,51,0,7,7,68,48,5,8,14,11,29,24,30,78,157,3,17,13,4,277,849
Bega-Eden Hinterland,41,0,31,8,8,8,62,41,15,3,11,8,26,13,25,62,88,7,25,5,9,262,745
Broulee - Tomakin,0,0,4,0,7,0,16,19,3,5,4,3,12,5,22,36,51,3,8,3,6,64,269
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden,4,0,8,0,0,0,36,28,9,0,3,0,12,12,6,24,28,4,11,4,0,120,308
Eurobodalla Hinterland,12,0,4,0,4,3,19,32,5,0,3,0,12,16,16,23,26,5,6,5,0,76,263
Merimbula - Tura Beach,4,0,21,0,13,8,74,106,19,8,21,12,33,33,39,60,157,16,20,6,5,240,889
Moruya - Tuross Head,5,0,11,0,6,6,58,35,9,14,11,11,24,21,43,52,110,3,19,4,4,216,678
Narooma - Bermagui,4,0,18,0,8,4,76,64,7,6,11,7,22,13,21,64,74,7,14,0,0,233,641
Goulburn,20,10,52,6,25,24,229,192,29,17,44,24,97,62,235,192,496,26,84,37,20,868,2773
Goulburn Region,60,4,19,5,20,19,75,57,13,10,24,10,61,28,89,133,195,13,26,11,10,336,1226
Yass,3,0,8,0,17,4,49,46,0,0,12,12,48,12,109,103,116,7,15,13,4,186,777
Yass Region,45,0,15,7,46,13,54,37,14,12,26,15,105,27,291,160,140,10,26,23,3,277,1348
Young,29,4,27,0,28,8,122,67,10,9,25,9,38,35,31,108,142,6,30,12,5,419,1169
Young Region,62,0,10,0,13,8,46,29,3,5,20,0,18,13,22,77,80,10,10,9,4,239,679
Avoca Beach - Copacabana,0,0,16,0,21,15,46,36,11,15,27,19,66,22,29,115,147,19,22,19,0,220,863
Box Head - MacMasters Beach,0,0,15,0,35,25,68,49,7,11,47,26,77,33,45,105,148,16,37,32,3,271,1048
Calga - Kulnura,38,0,14,0,17,11,27,12,8,3,12,4,29,10,15,34,48,12,14,14,3,154,471
Erina - Green Point,0,0,26,3,28,21,117,49,6,15,39,23,70,41,52,142,238,20,39,30,6,354,1317
Gosford - Springfield,4,0,70,4,37,34,192,114,19,29,88,45,118,70,101,199,537,27,81,28,16,839,2660
Kariong,0,0,15,6,25,19,63,45,10,9,30,10,44,30,47,65,155,0,23,12,4,223,827
Kincumber - Picketts Valley,0,0,17,0,11,11,60,32,4,4,20,19,30,21,40,76,153,10,25,13,12,179,729
Narara,0,0,26,3,12,14,71,26,14,12,34,8,40,20,38,65,168,8,33,8,4,230,833
Niagara Park - Lisarow,0,0,29,0,8,18,81,41,6,11,33,16,46,15,51,95,172,14,32,13,6,255,945
Point Clare - Koolewong,0,0,18,0,12,12,45,13,3,12,20,13,49,18,33,80,136,12,18,11,0,207,709
Saratoga - Davistown,0,4,30,0,17,14,62,34,10,11,25,12,37,20,54,88,142,8,30,7,6,187,790
Terrigal - North Avoca,0,3,32,5,42,30,102,77,13,27,42,23,95,45,85,172,332,16,68,25,3,392,1623
Umina - Booker Bay - Patonga,0,0,44,4,46,39,175,148,28,36,105,29,118,77,104,191,395,39,96,37,16,946,2671
Wamberal - Forresters Beach,0,0,32,0,38,15,65,47,3,11,42,29,68,29,73,151,244,11,38,19,6,269,1185
Woy Woy - Blackwall,4,3,30,0,21,22,106,59,13,25,63,30,67,36,75,110,232,20,55,28,9,527,1519
Wyoming,0,0,33,9,15,19,90,54,11,10,37,16,67,35,68,131,248,23,46,18,5,410,1354
Bateau Bay - Killarney Vale,10,0,67,6,37,37,221,141,23,24,81,37,106,74,150,268,433,19,88,30,13,797,2668
Blue Haven - San Remo,4,0,39,4,34,16,148,75,15,6,56,16,26,37,57,72,241,7,42,21,10,557,1486
Budgewoi - Buff Point - Halekulani,0,0,20,0,19,13,89,55,8,8,23,20,28,32,51,88,150,9,25,18,9,353,1008
Chittaway Bay - Tumbi Umbi,6,4,55,4,39,31,159,84,20,19,82,29,93,45,108,170,285,20,63,36,4,487,1843
Gorokan - Kanwal - Charmhaven,3,5,63,7,42,33,218,100,33,14,56,43,65,67,90,151,392,24,68,33,15,974,2491
Jilliby - Yarramalong,5,0,15,0,13,4,19,10,4,7,7,3,19,11,20,36,53,9,12,9,0,106,368
Lake Munmorah - Mannering Park,7,0,24,6,22,17,97,55,9,5,24,19,22,27,41,69,159,5,30,11,9,329,1008
Ourimbah - Fountaindale,0,0,22,5,9,16,48,23,7,7,20,8,21,14,35,57,114,11,13,10,4,153,600
Summerland Point - Gwandalan,0,3,18,0,22,3,70,38,4,0,24,4,21,19,30,54,115,5,22,9,0,179,626
The Entrance,8,0,41,3,44,18,124,99,16,18,47,31,47,50,82,130,270,12,45,30,11,649,1759
Toukley - Norah Head,6,4,22,7,20,13,72,48,9,9,14,16,34,26,47,82,154,7,22,14,9,374,1001
Tuggerah - Kangy Angy,0,5,22,3,19,10,66,31,4,13,24,5,31,25,32,74,98,9,15,14,0,229,731
Warnervale - Wadalba,4,0,75,8,52,34,198,81,31,14,83,31,91,58,133,170,388,10,67,25,10,601,2149
Wyong,0,0,38,3,19,14,86,41,7,9,38,10,39,14,35,48,154,14,35,6,9,457,1070
Bathurst,17,3,74,9,43,15,263,140,17,43,39,27,113,68,185,383,463,26,63,38,12,818,2873
Bathurst - East,11,5,48,14,36,4,125,49,15,16,26,12,56,30,104,190,232,16,39,14,15,355,1411
Bathurst Region,26,0,22,4,13,4,37,16,6,3,15,10,31,17,46,69,88,8,19,10,8,156,609
Oberon,11,0,26,0,0,4,19,36,7,3,6,9,16,7,23,38,40,9,3,7,7,142,427
Condobolin,55,3,14,0,3,6,43,28,0,0,9,0,10,14,32,114,92,0,7,15,11,288,756
Cowra,19,0,26,3,7,9,74,47,10,4,14,6,21,18,35,97,130,7,30,9,10,340,912
Cowra Region,46,0,9,0,8,5,28,21,8,3,0,4,19,15,23,52,73,3,10,9,3,160,489
Forbes,57,3,20,0,12,3,98,42,6,0,22,5,39,14,41,135,155,3,31,16,10,333,1066
Grenfell,30,0,4,0,0,6,22,12,5,3,3,0,13,9,13,29,46,0,15,5,0,99,328
