SA2,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
Braidwood,31,66,18,37,57,22,0,9,6,3,137,377
Karabar,97,176,29,119,263,74,12,51,19,4,268,1107
Queanbeyan,151,343,69,236,341,106,7,59,25,11,507,1855
Queanbeyan - East,73,154,31,83,138,65,3,29,8,0,195,768
Queanbeyan Region,271,512,67,171,502,83,9,30,35,4,444,2136
Queanbeyan West - Jerrabomberra,240,471,48,151,420,70,4,17,15,4,337,1780
Bombala,20,27,10,32,35,21,0,6,0,0,67,219
Cooma,45,125,24,97,94,61,4,39,5,5,215,720
Cooma Region,35,48,8,23,59,20,5,16,0,0,70,288
Jindabyne - Berridale,98,146,35,143,149,85,7,67,8,6,175,920
Batemans Bay,48,68,28,94,103,53,6,33,5,0,267,707
Batemans Bay - South,43,114,26,95,86,67,0,29,4,5,245,721
Bega - Tathra,43,166,36,96,108,71,11,55,3,0,277,849
Bega-Eden Hinterland,56,108,32,87,84,49,8,52,8,3,262,745
Broulee - Tomakin,16,64,10,35,47,18,0,13,0,0,64,269
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0
Eden,20,31,15,37,34,24,4,33,0,0,120,308
Eurobodalla Hinterland,22,38,17,35,42,13,0,16,6,0,76,263
Merimbula - Tura Beach,63,158,38,131,129,75,5,38,9,3,240,889
Moruya - Tuross Head,40,104,34,86,98,56,8,29,0,3,216,678
Narooma - Bermagui,39,90,32,91,75,63,3,15,3,0,233,641
Goulburn,164,416,113,419,392,224,28,134,16,11,868,2773
Goulburn Region,92,204,60,168,207,67,14,66,9,4,336,1226
Yass,81,191,31,93,113,45,0,30,12,4,186,777
Yass Region,187,335,43,108,274,57,5,38,10,5,277,1348
Young,78,189,37,139,127,101,7,73,4,0,419,1169
Young Region,72,95,35,68,83,34,4,38,0,0,239,679
Avoca Beach - Copacabana,68,272,23,77,135,50,0,12,7,0,220,863
Box Head - MacMasters Beach,89,239,44,115,175,60,10,33,10,3,271,1048
Calga - Kulnura,63,73,21,34,75,28,6,22,0,3,154,471
Erina - Green Point,113,316,43,126,211,101,4,35,10,3,354,1317
Gosford - Springfield,185,635,92,265,345,170,12,90,18,12,839,2660
Kariong,57,148,34,99,178,54,4,29,6,0,223,827
Kincumber - Picketts Valley,56,171,31,92,96,71,3,17,4,8,179,729
Narara,59,192,34,91,131,60,8,17,6,7,230,833
Niagara Park - Lisarow,77,208,29,103,156,61,14,33,7,3,255,945
Point Clare - Koolewong,45,176,20,80,113,42,0,15,4,0,207,709
Saratoga - Davistown,73,189,26,89,139,58,7,16,0,0,187,790
Terrigal - North Avoca,156,474,51,166,256,85,4,29,9,3,392,1623
Umina - Booker Bay - Patonga,165,443,98,328,386,168,15,101,12,16,946,2671
Wamberal - Forresters Beach,116,353,45,99,193,56,0,26,15,8,269,1185
Woy Woy - Blackwall,98,262,63,180,206,99,13,65,3,0,527,1519
Wyoming,83,275,60,176,201,78,13,51,4,6,410,1354
Bateau Bay - Killarney Vale,171,525,93,335,375,225,10,119,16,4,797,2668
Blue Haven - San Remo,77,144,59,213,209,104,17,93,14,8,557,1486
Budgewoi - Buff Point - Halekulani,46,148,38,139,151,82,18,39,8,0,353,1008
Chittaway Bay - Tumbi Umbi,145,355,72,210,338,134,11,69,15,6,487,1843
Gorokan - Kanwal - Charmhaven,145,299,86,320,310,172,34,124,17,12,974,2491
Jilliby - Yarramalong,33,83,22,25,58,21,3,14,5,0,106,368
Lake Munmorah - Mannering Park,55,150,35,138,151,84,14,42,3,7,329,1008
Ourimbah - Fountaindale,40,130,16,70,112,48,10,10,4,0,153,600
Summerland Point - Gwandalan,35,80,28,91,111,64,12,30,7,0,179,626
The Entrance,97,295,60,206,241,117,13,63,11,6,649,1759
Toukley - Norah Head,44,159,39,104,133,85,12,37,3,4,374,1001
Tuggerah - Kangy Angy,55,138,30,76,104,51,9,30,4,0,229,731
Warnervale - Wadalba,163,395,77,262,374,166,28,66,16,4,601,2149
Wyong,52,126,42,117,123,56,12,61,6,5,457,1070
Bathurst,165,642,121,347,409,199,5,150,16,4,818,2873
