SA2,Very well,Well,Not well,Not at all,Not stated - both language (LANP) and proficiency (ENGP) not stated,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Not applicable,Total
Braidwood,12,4,0,0,39,0,317,377
Karabar,105,51,3,0,60,0,879,1107
Queanbeyan,307,160,24,0,155,4,1203,1855
Queanbeyan - East,109,85,13,0,44,0,510,768
Queanbeyan Region,123,27,0,0,186,0,1794,2136
Queanbeyan West - Jerrabomberra,188,37,0,0,65,0,1490,1780
Bombala,4,3,0,0,11,0,204,219
Cooma,42,9,9,0,41,0,623,720
Cooma Region,7,0,0,0,26,0,252,288
Jindabyne - Berridale,33,26,15,0,77,3,764,920
Batemans Bay,24,12,0,0,42,0,614,707
Batemans Bay - South,34,15,3,0,52,0,616,721
Bega - Tathra,28,17,4,0,56,0,739,849
Bega-Eden Hinterland,17,8,0,0,55,0,670,745
Broulee - Tomakin,7,4,0,0,20,0,243,269
Deua - Wadbilliga,0,0,0,0,0,0,0,0
Eden,9,12,0,0,25,0,265,308
Eurobodalla Hinterland,4,0,0,0,18,0,240,263
Merimbula - Tura Beach,33,21,0,0,50,0,783,889
Moruya - Tuross Head,20,9,9,0,47,0,598,678
Narooma - Bermagui,19,6,0,0,49,5,566,641
Goulburn,130,74,33,0,149,0,2385,2773
Goulburn Region,38,14,0,0,85,0,1084,1226
Yass,30,9,0,0,26,0,709,777
Yass Region,51,6,7,0,82,0,1207,1348
Young,44,22,5,0,62,0,1037,1169
Young Region,26,4,5,0,38,0,600,679
Avoca Beach - Copacabana,56,10,0,0,39,0,752,863
Box Head - MacMasters Beach,60,13,3,0,36,0,935,1048
Calga - Kulnura,42,10,3,0,34,0,376,471
Erina - Green Point,89,38,21,0,54,5,1117,1317
Gosford - Springfield,326,187,43,0,161,6,1932,2660
Kariong,63,38,7,0,30,0,699,827
Kincumber - Picketts Valley,29,8,0,0,22,0,677,729
Narara,64,32,0,0,20,0,720,833
Niagara Park - Lisarow,59,15,5,0,27,0,839,945
Point Clare - Koolewong,66,16,6,0,24,0,597,709
Saratoga - Davistown,25,7,0,0,24,0,733,790
Terrigal - North Avoca,110,31,4,0,74,0,1406,1623
Umina - Booker Bay - Patonga,162,65,17,0,151,6,2271,2671
Wamberal - Forresters Beach,60,11,0,0,45,0,1058,1185
Woy Woy - Blackwall,122,58,15,0,81,3,1243,1519
Wyoming,96,44,14,0,59,0,1141,1354
Bateau Bay - Killarney Vale,73,20,6,0,121,0,2449,2668
Blue Haven - San Remo,35,30,5,0,48,0,1370,1486
Budgewoi - Buff Point - Halekulani,19,9,4,0,49,0,927,1008
Chittaway Bay - Tumbi Umbi,58,25,9,0,56,0,1688,1843
Gorokan - Kanwal - Charmhaven,108,32,10,0,138,3,2192,2491
Jilliby - Yarramalong,19,0,0,0,34,0,329,368
Lake Munmorah - Mannering Park,32,10,0,0,44,0,924,1008
Ourimbah - Fountaindale,25,8,3,0,18,0,543,600
Summerland Point - Gwandalan,23,9,0,0,21,0,574,626
The Entrance,98,38,11,0,118,0,1494,1759
Toukley - Norah Head,33,9,5,0,55,0,896,1001
Tuggerah - Kangy Angy,50,32,17,6,32,0,586,731
Warnervale - Wadalba,147,46,18,0,54,0,1889,2149
Wyong,79,41,15,0,64,0,856,1070
Bathurst,142,70,24,0,160,3,2466,2873
Bathurst - East,45,23,4,0,56,0,1294,1411
Bathurst Region,15,3,3,0,38,0,551,609
Oberon,21,6,0,0,33,0,366,427
Condobolin,18,14,3,0,81,0,639,756
Cowra,24,11,5,0,70,0,804,912
Cowra Region,14,5,0,0,43,0,428,489
Forbes,23,17,3,0,73,0,948,1066
Grenfell,0,3,0,0,22,0,293,328
Parkes (NSW),43,21,3,0,86,4,1115,1275
Parkes Region,9,0,0,0,32,0,261,303
West Wyalong,15,6,0,0,64,3,538,624
Lithgow,54,26,10,0,108,0,1177,1376
Lithgow Region,25,9,0,0,98,0,730,857
Mudgee,46,18,6,0,120,0,1340,1533
Mudgee Region - East,4,4,0,0,28,0,262,299
Mudgee Region - West,22,4,3,0,120,0,912,1060
Wollangambe - Wollemi,0,0,0,0,0,0,0,0
Blayney,13,3,0,0,56,0,774,847
Orange,108,60,30,3,160,0,1975,2334
Orange - North,220,70,23,6,125,3,2471,2918
Orange Region,39,8,3,0,76,0,1134,1252
Grafton,63,22,3,0,140,0,1811,2049
Grafton Region,23,15,0,0,113,0,1223,1369
Maclean - Yamba - Iluka,51,15,5,0,79,0,1167,1315
Bellingen,31,5,0,0,35,0,562,642
Coffs Harbour - North,130,79,57,13,126,3,1656,2066
Coffs Harbour - South,77,62,45,15,79,3,893,1174
Coramba - Nana Glen - Bucca,25,9,0,0,33,0,362,428
Dorrigo,8,11,0,0,20,0,222,256
Korora - Emerald Beach,58,26,0,0,52,6,869,1019
Sawtell - Boambee,90,38,8,6,79,0,1905,2125
Urunga,6,6,0,0,22,0,338,373
Woolgoolga - Arrawarra,128,115,43,6,96,7,1019,1414
Bourke - Brewarrina,20,8,0,0,69,0,414,506
Cobar,22,16,4,0,62,3,526,635
Coonamble,6,4,0,0,66,0,386,458
Nyngan - Warren,16,9,6,0,56,0,464,539
Walgett - Lightning Ridge,43,15,3,0,94,4,597,753
Broken Hill,65,31,0,0,145,0,1805,2045
Far West,5,3,0,0,49,0,239,300
Coonabarabran,21,7,0,0,66,0,646,747
Dubbo - East,85,53,10,0,87,0,1118,1353
Dubbo - South,180,121,20,4,141,0,1958,2421
Dubbo - West,67,37,8,0,91,0,1027,1230
Dubbo Region,8,4,0,0,53,0,552,616
Gilgandra,15,4,0,0,27,0,402,454
Narromine,7,6,4,0,49,0,636,705
Wellington,9,7,6,0,140,0,703,862
Branxton - Greta - Pokolbin,29,14,0,0,85,4,1287,1420
Cessnock,51,22,12,0,164,0,2404,2656
Cessnock Region,11,6,0,0,93,0,808,919
Dungog,3,0,0,0,68,0,882,951
Kurri Kurri - Abermain,36,18,3,0,124,5,2054,2240
Singleton,91,40,11,0,122,0,1919,2184
Singleton Region,13,0,0,0,65,0,484,563
Maitland,38,10,0,0,66,0,896,1015
Maitland - East,174,72,21,0,155,3,3219,3652
Maitland - North,26,0,4,0,46,0,885,964
Maitland - West,102,50,14,0,139,0,2923,3223
Thornton - Millers Forest,52,17,8,0,29,0,1309,1412
Anna Bay,19,7,0,0,26,0,486,539
Lemon Tree Passage - Tanilba Bay,17,3,0,0,42,0,575,631
Nelson Bay Peninsula,89,51,9,0,110,0,1676,1942
Raymond Terrace,49,21,7,0,127,0,1501,1701
Seaham - Woodville,7,0,0,0,22,0,520,555
Tea Gardens - Hawks Nest,24,10,0,0,10,0,237,288
Williamtown - Medowie - Karuah,58,19,0,0,124,0,1507,1717
Muswellbrook,77,42,12,0,77,0,1404,1615
Muswellbrook Region,6,5,0,0,31,0,437,476
Scone,30,31,7,0,44,0,644,764
Scone Region,27,11,3,0,109,0,849,992
Dapto - Avondale,182,64,7,5,76,0,2506,2841
Horsley - Kembla Grange,130,30,7,0,28,0,1090,1287
Port Kembla Industrial,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,263,63,8,0,78,0,1483,1889
Berkeley - Lake Heights - Cringila,383,85,45,15,82,8,1109,1730
Port Kembla - Warrawong,220,52,35,0,54,8,793,1160
Windang - Primbee,33,7,9,0,20,0,344,414
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,93,9,9,3,53,3,1784,1955
Albion Park Rail,45,8,0,0,43,0,762,860
Kiama,47,13,3,0,22,0,638,733
Kiama Downs - Minnamurra,23,6,0,0,26,0,584,643
Kiama Hinterland - Gerringong,25,14,3,0,57,3,671,776
Shellharbour - Flinders,253,68,7,0,84,3,1853,2266
Shellharbour - Oak Flats,131,35,3,0,50,3,973,1195
Warilla,183,52,9,4,130,4,1951,2335
Balgownie - Fairy Meadow,353,169,55,3,99,0,1886,2575
Corrimal - Tarrawanna - Bellambi,171,47,18,0,65,3,1687,1981
Figtree - Keiraville,421,172,58,6,83,3,1882,2627
Helensburgh,78,14,4,0,42,0,1045,1177
Thirroul - Austinmer - Coalcliff,104,13,3,0,61,0,1227,1409
