SA2,Never married,Widowed,Divorced,Separated,Married,Total
Braidwood,137,3,25,13,201,377
Karabar,459,4,53,46,551,1107
Queanbeyan,801,9,110,64,874,1855
Queanbeyan - East,326,0,40,18,377,768
Queanbeyan Region,582,9,107,45,1393,2136
Queanbeyan West - Jerrabomberra,470,3,109,57,1138,1780
Bombala,87,0,7,7,118,219
Cooma,308,6,52,25,328,720
Cooma Region,87,3,20,3,168,288
Jindabyne - Berridale,409,3,39,17,451,920
Batemans Bay,313,3,48,36,301,707
Batemans Bay - South,272,4,63,44,336,721
Bega - Tathra,357,0,51,36,402,849
Bega-Eden Hinterland,294,7,49,37,354,745
Broulee - Tomakin,82,0,16,13,150,269
Deua - Wadbilliga,0,0,0,0,0,0
Eden,141,0,20,14,130,308
Eurobodalla Hinterland,112,0,22,19,111,263
Merimbula - Tura Beach,383,9,54,46,403,889
Moruya - Tuross Head,288,4,51,37,297,678
Narooma - Bermagui,305,0,44,24,265,641
Goulburn,1128,18,158,136,1337,2773
Goulburn Region,373,3,57,54,743,1226
Yass,291,0,54,30,400,777
Yass Region,365,10,57,40,878,1348
Young,453,11,60,76,569,1169
Young Region,259,5,33,26,356,679
Avoca Beach - Copacabana,271,0,51,23,512,863
Box Head - MacMasters Beach,345,3,50,46,608,1048
Calga - Kulnura,198,0,17,22,230,471
Erina - Green Point,428,8,85,41,759,1317
Gosford - Springfield,1106,9,167,117,1263,2660
Kariong,251,3,35,39,500,827
Kincumber - Picketts Valley,241,0,50,26,416,729
Narara,297,3,44,32,456,833
Niagara Park - Lisarow,301,0,54,37,548,945
Point Clare - Koolewong,225,5,33,33,419,709
Saratoga - Davistown,257,0,40,29,470,790
Terrigal - North Avoca,607,10,84,58,869,1623
Umina - Booker Bay - Patonga,1151,12,193,146,1176,2671
Wamberal - Forresters Beach,346,4,53,36,737,1185
Woy Woy - Blackwall,679,13,89,79,663,1519
Wyoming,498,7,88,68,686,1354
Bateau Bay - Killarney Vale,1066,9,156,140,1294,2668
Blue Haven - San Remo,591,16,102,117,658,1486
Budgewoi - Buff Point - Halekulani,432,4,73,58,442,1008
Chittaway Bay - Tumbi Umbi,643,4,100,87,1006,1843
Gorokan - Kanwal - Charmhaven,1051,11,192,170,1067,2491
Jilliby - Yarramalong,129,5,10,9,227,368
Lake Munmorah - Mannering Park,400,8,69,74,463,1008
Ourimbah - Fountaindale,224,6,41,24,313,600
Summerland Point - Gwandalan,225,0,49,36,311,626
The Entrance,833,12,158,109,654,1759
Toukley - Norah Head,445,8,85,65,401,1001
Tuggerah - Kangy Angy,243,0,51,33,400,731
Warnervale - Wadalba,555,14,150,116,1322,2149
Wyong,470,10,88,46,450,1070
Bathurst,1217,12,215,128,1299,2873
Bathurst - East,475,5,78,73,774,1411
Bathurst Region,155,0,32,24,399,609
Oberon,164,0,24,19,218,427
Condobolin,323,0,24,18,394,756
Cowra,377,0,61,47,424,912
Cowra Region,166,3,25,25,271,489
Forbes,403,9,49,64,540,1066
