SA2,National Government,State/Territory Government,Local Government,Private sector,Not stated,Not applicable,Total
Braidwood,36,33,3,171,3,137,377
Karabar,236,103,7,480,9,268,1107
Queanbeyan,351,149,3,824,20,507,1855
Queanbeyan - East,158,65,0,344,4,195,768
Queanbeyan Region,553,242,5,875,6,444,2136
Queanbeyan West - Jerrabomberra,513,187,8,726,10,337,1780
Bombala,3,26,11,120,0,67,219
Cooma,24,94,12,367,6,215,720
Cooma Region,27,26,7,153,0,70,288
Jindabyne - Berridale,10,72,25,636,4,175,920
Batemans Bay,26,57,9,344,3,267,707
Batemans Bay - South,29,55,8,375,9,245,721
Bega - Tathra,4,74,16,473,4,277,849
Bega-Eden Hinterland,10,58,9,393,9,262,745
Broulee - Tomakin,9,37,4,150,6,64,269
Deua - Wadbilliga,0,0,0,0,0,0,0
Eden,5,18,6,161,0,120,308
Eurobodalla Hinterland,7,15,9,149,0,76,263
Merimbula - Tura Beach,12,74,17,546,5,240,889
Moruya - Tuross Head,19,60,22,356,4,216,678
Narooma - Bermagui,0,46,6,349,0,233,641
Goulburn,77,368,52,1394,20,868,2773
Goulburn Region,44,138,23,676,10,336,1226
Yass,79,107,16,385,4,186,777
Yass Region,276,154,14,632,3,277,1348
Young,7,92,7,646,5,419,1169
Young Region,7,63,11,354,4,239,679
Avoca Beach - Copacabana,17,112,7,510,0,220,863
Box Head - MacMasters Beach,19,110,9,645,3,271,1048
Calga - Kulnura,4,29,3,273,3,154,471
Erina - Green Point,17,148,11,780,6,354,1317
Gosford - Springfield,46,345,21,1397,16,839,2660
Kariong,15,87,17,484,4,223,827
Kincumber - Picketts Valley,9,105,6,417,12,179,729
Narara,11,91,12,478,4,230,833
Niagara Park - Lisarow,14,128,8,539,6,255,945
Point Clare - Koolewong,25,84,8,382,0,207,709
Saratoga - Davistown,14,107,12,470,6,187,790
Terrigal - North Avoca,32,219,16,961,3,392,1623
Umina - Booker Bay - Patonga,38,221,34,1419,16,946,2671
Wamberal - Forresters Beach,27,183,17,679,6,269,1185
Woy Woy - Blackwall,31,137,17,811,9,527,1519
Wyoming,31,170,12,732,5,410,1354
Bateau Bay - Killarney Vale,44,306,30,1489,13,797,2668
Blue Haven - San Remo,21,120,13,774,10,557,1486
Budgewoi - Buff Point - Halekulani,16,102,11,520,9,353,1008
Chittaway Bay - Tumbi Umbi,34,223,23,1058,4,487,1843
Gorokan - Kanwal - Charmhaven,35,197,13,1260,15,974,2491
Jilliby - Yarramalong,8,37,5,212,0,106,368
Lake Munmorah - Mannering Park,9,86,9,563,9,329,1008
Ourimbah - Fountaindale,14,97,5,336,4,153,600
Summerland Point - Gwandalan,8,50,5,377,0,179,626
The Entrance,31,159,9,900,11,649,1759
Toukley - Norah Head,13,84,13,504,9,374,1001
Tuggerah - Kangy Angy,11,90,7,389,0,229,731
Warnervale - Wadalba,41,281,28,1184,10,601,2149
Wyong,12,73,8,502,9,457,1070
Bathurst,130,366,36,1515,12,818,2873
Bathurst - East,56,194,38,756,15,355,1411
Bathurst Region,17,78,8,339,8,156,609
Oberon,3,44,13,220,7,142,427
Condobolin,4,104,15,327,11,288,756
Cowra,13,81,6,458,10,340,912
Cowra Region,11,47,7,266,3,160,489
Forbes,3,99,21,588,10,333,1066
Grenfell,0,45,9,173,0,99,328
Parkes (NSW),22,169,20,599,13,449,1275
Parkes Region,3,34,3,144,0,121,303
West Wyalong,4,67,22,325,6,209,624
Lithgow,9,155,15,652,7,539,1376
Lithgow Region,14,97,19,405,9,320,857
Mudgee,17,160,32,794,8,532,1533
Mudgee Region - East,0,37,0,105,3,155,299
Mudgee Region - West,9,77,23,509,8,437,1060
Wollangambe - Wollemi,0,0,0,0,0,0,0
Blayney,8,106,18,437,5,268,847
Orange,43,327,31,1134,9,786,2334
Orange - North,69,551,41,1477,18,769,2918
Orange Region,35,164,19,703,11,328,1252
Grafton,17,225,24,939,9,831,2049
Grafton Region,11,113,13,621,7,601,1369
Maclean - Yamba - Iluka,8,110,16,676,10,496,1315
Bellingen,10,66,11,298,6,255,642
Coffs Harbour - North,70,192,21,1063,18,699,2066
Coffs Harbour - South,42,124,14,607,10,373,1174
Coramba - Nana Glen - Bucca,16,49,4,216,3,141,428
Dorrigo,0,19,0,118,3,112,256
Korora - Emerald Beach,35,107,13,590,6,271,1019
Sawtell - Boambee,61,230,20,1146,18,649,2125
Urunga,13,30,7,195,0,129,373
Woolgoolga - Arrawarra,30,142,6,742,15,483,1414
Bourke - Brewarrina,11,111,13,157,5,218,506
Cobar,7,40,21,319,0,242,635
Coonamble,0,76,12,168,5,198,458
Nyngan - Warren,0,69,20,263,3,183,539
Walgett - Lightning Ridge,0,117,11,254,13,358,753
Broken Hill,32,272,43,977,13,713,2045
Far West,0,35,8,99,4,162,300
Coonabarabran,7,116,17,324,9,270,747
Dubbo - East,27,175,10,688,13,440,1353
Dubbo - South,29,432,27,1324,16,598,2421
Dubbo - West,18,192,21,626,5,374,1230
Dubbo Region,10,97,10,322,6,162,616
Gilgandra,3,67,26,196,8,159,454
Narromine,6,88,8,355,5,236,705
Wellington,0,120,6,326,3,402,862
Branxton - Greta - Pokolbin,17,105,13,861,8,416,1420
Cessnock,17,210,25,1339,16,1043,2656
Cessnock Region,12,79,11,479,8,331,919
Dungog,19,99,11,509,11,304,951
Kurri Kurri - Abermain,16,172,16,1200,17,816,2240
Singleton,27,150,20,1194,17,781,2184
Singleton Region,10,25,12,318,5,195,563
Maitland,18,119,12,552,9,313,1015
Maitland - East,92,415,33,1940,17,1156,3652
