SA2,Nil hours,Less than 5 hours,5 to 14 hours,15 to 29 hours,30 hours or more,Not stated,Total
Braidwood,24,47,114,79,78,43,377
Karabar,131,167,362,192,184,70,1107
Queanbeyan,223,357,653,226,214,183,1855
Queanbeyan - East,85,162,250,107,104,50,768
Queanbeyan Region,91,248,797,441,358,199,2136
Queanbeyan West - Jerrabomberra,104,257,676,371,297,76,1780
Bombala,17,19,73,46,58,9,219
Cooma,45,82,267,139,135,51,720
Cooma Region,9,28,106,53,66,29,288
Jindabyne - Berridale,59,181,299,158,125,96,920
Batemans Bay,62,91,193,138,162,64,707
Batemans Bay - South,71,81,223,137,148,58,721
Bega - Tathra,53,103,267,154,201,66,849
Bega-Eden Hinterland,28,71,215,172,190,65,745
Broulee - Tomakin,20,21,97,60,47,21,269
Deua - Wadbilliga,0,0,0,0,0,0,0
Eden,37,29,94,55,70,25,308
Eurobodalla Hinterland,27,28,71,64,57,26,263
Merimbula - Tura Beach,76,116,287,183,175,59,889
Moruya - Tuross Head,61,76,201,161,125,52,678
Narooma - Bermagui,48,87,166,128,160,56,641
Goulburn,301,327,861,527,569,192,2773
Goulburn Region,76,112,393,258,279,103,1226
Yass,49,85,302,157,140,43,777
Yass Region,52,150,495,277,284,92,1348
Young,110,111,300,233,340,83,1169
Young Region,43,56,205,142,182,43,679
Avoca Beach - Copacabana,50,122,285,177,182,45,863
Box Head - MacMasters Beach,80,145,332,200,253,41,1048
Calga - Kulnura,39,66,133,93,92,47,471
Erina - Green Point,93,213,397,269,288,64,1317
Gosford - Springfield,267,454,871,402,478,185,2660
Kariong,60,120,262,156,205,34,827
Kincumber - Picketts Valley,62,93,236,144,174,26,729
Narara,66,108,273,171,194,27,833
Niagara Park - Lisarow,65,126,309,211,206,34,945
Point Clare - Koolewong,45,107,242,123,161,34,709
Saratoga - Davistown,54,98,261,167,176,32,790
Terrigal - North Avoca,97,299,512,323,293,91,1623
Umina - Booker Bay - Patonga,266,391,787,464,586,186,2671
Wamberal - Forresters Beach,90,152,383,244,257,59,1185
Woy Woy - Blackwall,150,236,418,279,337,102,1519
Wyoming,123,189,417,253,297,71,1354
Bateau Bay - Killarney Vale,240,371,790,536,594,144,2668
Blue Haven - San Remo,161,142,443,296,372,69,1486
Budgewoi - Buff Point - Halekulani,103,120,279,197,255,62,1008
Chittaway Bay - Tumbi Umbi,137,233,590,390,411,75,1843
Gorokan - Kanwal - Charmhaven,237,281,745,499,561,179,2491
Jilliby - Yarramalong,34,46,98,78,96,30,368
Lake Munmorah - Mannering Park,85,132,310,191,239,64,1008
Ourimbah - Fountaindale,37,90,194,118,147,15,600
Summerland Point - Gwandalan,47,58,208,121,153,32,626
The Entrance,192,256,541,287,342,140,1759
Toukley - Norah Head,101,114,309,187,227,59,1001
Tuggerah - Kangy Angy,94,99,207,143,148,39,731
Warnervale - Wadalba,178,248,693,429,534,74,2149
Wyong,131,142,277,207,230,78,1070
Bathurst,243,361,930,543,603,193,2873
Bathurst - East,103,125,470,306,349,69,1411
Bathurst Region,34,60,195,138,138,44,609
Oberon,30,39,119,88,115,39,427
Condobolin,86,65,201,117,200,94,756
Cowra,74,67,260,188,241,82,912
Cowra Region,41,39,133,99,127,49,489
Forbes,96,118,303,190,261,98,1066
Grenfell,17,28,93,76,93,28,328
Parkes (NSW),112,109,383,253,313,103,1275
Parkes Region,22,20,81,66,82,34,303
West Wyalong,46,55,164,121,174,64,624
Lithgow,147,147,381,275,314,117,1376
Lithgow Region,68,73,234,182,193,110,857
Mudgee,96,176,437,304,381,141,1533
Mudgee Region - East,25,25,81,46,92,34,299
Mudgee Region - West,60,90,258,195,325,133,1060
Wollangambe - Wollemi,0,0,0,0,0,0,0
Blayney,57,95,244,155,227,65,847
Orange,264,335,718,396,426,192,2334
Orange - North,274,362,923,564,641,153,2918
Orange Region,65,100,395,267,334,86,1252
Grafton,193,188,622,391,489,167,2049
Grafton Region,122,111,370,244,389,135,1369
Maclean - Yamba - Iluka,78,133,413,258,328,109,1315
Bellingen,27,63,197,140,164,39,642
Coffs Harbour - North,231,311,603,386,384,151,2066
Coffs Harbour - South,115,194,393,192,192,94,1174
Coramba - Nana Glen - Bucca,28,49,134,73,104,38,428
Dorrigo,14,22,75,52,73,23,256
Korora - Emerald Beach,59,108,324,253,216,60,1019
Sawtell - Boambee,190,278,657,437,470,94,2125
Urunga,30,46,104,75,96,29,373
Woolgoolga - Arrawarra,191,146,393,274,286,119,1414
Bourke - Brewarrina,89,65,118,81,82,77,506
Cobar,55,61,174,112,163,71,635
Coonamble,54,41,109,77,105,75,458
Nyngan - Warren,54,45,176,103,100,61,539
Walgett - Lightning Ridge,132,75,213,95,129,106,753
Broken Hill,261,238,636,338,409,171,2045
Far West,55,28,63,39,59,61,300
Coonabarabran,59,65,195,171,184,79,747
Dubbo - East,173,159,391,231,283,119,1353
Dubbo - South,239,350,752,440,470,167,2421
Dubbo - West,124,121,402,238,241,108,1230
Dubbo Region,30,43,162,140,176,64,616
Gilgandra,44,43,131,90,111,31,454
Narromine,63,63,211,117,187,65,705
Wellington,86,77,216,156,172,151,862
Branxton - Greta - Pokolbin,126,165,425,264,351,97,1420
Cessnock,281,301,761,476,642,185,2656
Cessnock Region,68,80,280,184,203,111,919
Dungog,50,97,285,179,261,71,951
Kurri Kurri - Abermain,253,213,662,429,536,150,2240
Singleton,190,209,652,414,578,141,2184
Singleton Region,24,46,136,130,154,72,563
Maitland,92,124,331,186,199,84,1015
Maitland - East,329,468,1151,721,810,179,3652
Maitland - North,46,115,324,223,206,52,964
Maitland - West,280,347,983,663,786,163,3223
Thornton - Millers Forest,124,160,468,278,339,43,1412
Anna Bay,30,58,177,106,141,24,539
Lemon Tree Passage - Tanilba Bay,42,63,180,125,177,43,631
Nelson Bay Peninsula,165,253,602,366,433,121,1942
Raymond Terrace,187,181,472,343,391,132,1701
Seaham - Woodville,29,54,180,130,130,31,555
Tea Gardens - Hawks Nest,14,48,79,52,73,20,288
Williamtown - Medowie - Karuah,117,161,540,364,401,134,1717
Muswellbrook,155,183,431,285,453,108,1615
Muswellbrook Region,33,44,151,107,107,31,476
Scone,76,98,224,147,164,60,764
Scone Region,55,95,288,181,261,116,992
Dapto - Avondale,289,359,890,568,620,109,2841
Horsley - Kembla Grange,106,150,458,281,259,33,1287
Port Kembla Industrial,0,0,0,0,0,0,0
Unanderra - Mount Kembla,164,260,601,401,379,89,1889
Berkeley - Lake Heights - Cringila,310,213,447,288,372,100,1730
Port Kembla - Warrawong,172,174,306,199,231,77,1160
Windang - Primbee,40,66,118,80,74,25,414
Illawarra Catchment Reserve,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,161,207,646,425,443,76,1955
Albion Park Rail,87,89,286,174,168,54,860
Kiama,64,104,246,142,142,31,733
Kiama Downs - Minnamurra,34,83,218,147,124,27,643
Kiama Hinterland - Gerringong,42,106,227,163,166,69,776
Shellharbour - Flinders,166,253,770,474,499,105,2266
Shellharbour - Oak Flats,113,170,381,226,242,64,1195
Warilla,314,304,659,459,457,153,2335
Balgownie - Fairy Meadow,303,384,811,484,461,126,2575
Corrimal - Tarrawanna - Bellambi,202,320,633,376,368,83,1981
Figtree - Keiraville,261,386,840,518,507,105,2627
Helensburgh,47,180,389,262,248,46,1177
Thirroul - Austinmer - Coalcliff,66,254,463,274,280,68,1409
Woonona - Bulli - Russell Vale,165,350,833,560,551,122,2582
Wollongong - East,320,526,629,175,156,212,2016
Wollongong - West,388,440,710,348,341,130,2355
Bulahdelah - Stroud,18,41,132,98,117,30,426
Forster,123,162,415,205,243,87,1237
Forster-Tuncurry Region,34,60,148,100,143,39,523
Tuncurry,48,59,125,61,84,24,407
Kempsey,197,130,392,285,345,195,1537
Kempsey Region,89,84,216,157,193,79,820
Macksville - Scotts Head,42,50,121,92,105,34,444
Nambucca Heads,59,74,155,79,135,39,541
Nambucca Heads Region,54,55,181,175,177,48,700
South West Rocks,40,45,110,92,98,27,415
Lord Howe Island,6,10,20,7,9,9,56
Laurieton - Bonny Hills,104,124,420,265,292,90,1299
Port Macquarie - East,203,421,988,592,625,146,2971
Port Macquarie - West,177,258,559,324,344,124,1778
Port Macquarie Region,23,46,149,91,144,53,498
Wauchope,79,113,369,242,286,81,1171
Gloucester,27,31,101,93,135,36,425
Old Bar - Manning Point - Red Head,60,113,269,223,265,35,969
Taree,251,217,609,400,464,140,2077
Taree Region,71,89,271,202,259,86,976
Wingham,51,38,156,106,136,37,520
Albury - East,137,282,741,463,440,102,2168
Albury - North,138,156,367,240,221,121,1249
Albury - South,104,198,374,205,200,99,1178
Albury Region,61,99,331,278,314,93,1179
Lavington,235,230,520,331,341,143,1787
Hay,25,12,81,54,77,43,293
Wentworth - Buronga,68,64,158,134,138,68,631
