SA2,Not a volunteer,Volunteer,Not stated,Total
Braidwood,213,128,44,377
Karabar,849,189,73,1107
Queanbeyan,1339,339,176,1855
Queanbeyan - East,573,138,50,768
Queanbeyan Region,1403,533,198,2136
Queanbeyan West - Jerrabomberra,1276,433,75,1780
Bombala,131,79,14,219
Cooma,492,174,51,720
Cooma Region,149,108,25,288
Jindabyne - Berridale,588,245,86,920
Batemans Bay,520,124,57,707
Batemans Bay - South,480,173,72,721
Bega - Tathra,540,244,61,849
Bega-Eden Hinterland,445,230,63,745
Broulee - Tomakin,177,71,21,269
Deua - Wadbilliga,0,0,0,0
Eden,201,87,27,308
Eurobodalla Hinterland,168,68,25,263
Merimbula - Tura Beach,627,206,60,889
Moruya - Tuross Head,452,172,54,678
Narooma - Bermagui,434,156,56,641
Goulburn,2110,486,183,2773
Goulburn Region,755,362,107,1226
Yass,532,209,36,777
Yass Region,783,478,94,1348
Young,814,285,72,1169
Young Region,386,239,49,679
Avoca Beach - Copacabana,579,240,46,863
Box Head - MacMasters Beach,777,244,34,1048
Calga - Kulnura,320,111,46,471
Erina - Green Point,929,325,60,1317
Gosford - Springfield,1955,519,181,2660
Kariong,628,162,35,827
Kincumber - Picketts Valley,536,174,24,729
Narara,617,189,31,833
Niagara Park - Lisarow,688,230,30,945
Point Clare - Koolewong,506,173,35,709
Saratoga - Davistown,602,161,27,790
Terrigal - North Avoca,1159,380,88,1623
Umina - Booker Bay - Patonga,1981,522,171,2671
Wamberal - Forresters Beach,837,286,56,1185
Woy Woy - Blackwall,1157,267,98,1519
Wyoming,968,315,67,1354
Bateau Bay - Killarney Vale,2021,507,142,2668
Blue Haven - San Remo,1191,238,63,1486
Budgewoi - Buff Point - Halekulani,783,163,57,1008
Chittaway Bay - Tumbi Umbi,1363,409,70,1843
Gorokan - Kanwal - Charmhaven,1939,381,173,2491
Jilliby - Yarramalong,245,93,30,368
Lake Munmorah - Mannering Park,764,183,62,1008
Ourimbah - Fountaindale,436,144,19,600
Summerland Point - Gwandalan,497,102,28,626
The Entrance,1310,315,138,1759
Toukley - Norah Head,759,184,59,1001
Tuggerah - Kangy Angy,556,135,40,731
Warnervale - Wadalba,1672,407,73,2149
Wyong,802,195,74,1070
Bathurst,2083,608,180,2873
Bathurst - East,1027,323,60,1411
Bathurst Region,384,178,45,609
Oberon,289,102,43,427
Condobolin,413,251,86,756
Cowra,592,241,82,912
Cowra Region,264,178,51,489
Forbes,650,329,91,1066
Grenfell,169,139,26,328
Parkes (NSW),842,332,101,1275
Parkes Region,151,119,29,303
West Wyalong,307,258,63,624
Lithgow,988,277,109,1376
Lithgow Region,528,217,113,857
Mudgee,1042,353,133,1533
Mudgee Region - East,188,84,35,299
Mudgee Region - West,664,267,130,1060
Wollangambe - Wollemi,0,0,0,0
Blayney,539,245,64,847
Orange,1655,499,179,2334
Orange - North,2142,622,151,2918
Orange Region,760,409,87,1252
Grafton,1391,497,162,2049
Grafton Region,887,353,133,1369
Maclean - Yamba - Iluka,888,328,95,1315
Bellingen,386,210,47,642
Coffs Harbour - North,1523,397,149,2066
Coffs Harbour - South,854,237,87,1174
Coramba - Nana Glen - Bucca,274,108,44,428
Dorrigo,160,75,16,256
Korora - Emerald Beach,738,211,62,1019
Sawtell - Boambee,1542,498,91,2125
Urunga,258,90,22,373
