SA2,Did not provide child care,Cared for own child/children,Cared for other child/children,Cared for own child/children and other child/children,Not stated,Total
Braidwood,114,194,19,4,41,377
Karabar,431,538,37,36,70,1107
Queanbeyan,890,687,80,18,177,1855
Queanbeyan - East,376,315,21,13,45,768
Queanbeyan Region,690,1121,73,58,192,2136
Queanbeyan West - Jerrabomberra,628,994,44,34,79,1780
Bombala,71,126,9,3,13,219
Cooma,254,354,43,13,52,720
Cooma Region,79,164,10,11,25,288
Jindabyne - Berridale,350,423,42,18,90,920
Batemans Bay,258,346,24,28,53,707
Batemans Bay - South,226,387,19,25,57,721
Bega - Tathra,250,469,48,30,63,849
Bega-Eden Hinterland,194,421,40,23,61,745
Broulee - Tomakin,62,157,14,13,14,269
Deua - Wadbilliga,0,0,0,0,0,0
Eden,89,159,16,16,27,308
Eurobodalla Hinterland,85,133,13,11,22,263
Merimbula - Tura Beach,302,475,41,15,61,889
Moruya - Tuross Head,234,337,32,19,50,678
Narooma - Bermagui,203,329,34,24,59,641
Goulburn,939,1435,126,92,179,2773
Goulburn Region,344,697,49,35,99,1226
Yass,253,424,38,31,40,777
Yass Region,403,761,48,49,88,1348
Young,330,668,53,42,75,1169
Young Region,212,372,26,17,49,679
Avoca Beach - Copacabana,233,510,25,41,51,863
Box Head - MacMasters Beach,306,626,44,41,40,1048
Calga - Kulnura,175,226,21,11,39,471
Erina - Green Point,425,749,48,38,56,1317
Gosford - Springfield,1097,1187,116,71,189,2660
Kariong,230,505,25,36,29,827
Kincumber - Picketts Valley,206,434,37,24,26,729
Narara,267,482,37,25,26,833
Niagara Park - Lisarow,254,573,40,41,36,945
Point Clare - Koolewong,250,381,32,25,30,709
Saratoga - Davistown,226,472,33,29,30,790
Terrigal - North Avoca,591,824,67,52,90,1623
Umina - Booker Bay - Patonga,888,1410,107,85,176,2671
Wamberal - Forresters Beach,325,686,56,56,58,1185
Woy Woy - Blackwall,558,766,72,38,90,1519
Wyoming,452,716,58,64,67,1354
