SA2,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Total
Braidwood,115,106,21,3,5,84,43,377
Karabar,507,267,65,19,22,166,67,1107
Queanbeyan,811,426,114,31,34,268,170,1855
Queanbeyan - East,372,154,47,13,18,118,44,768
Queanbeyan Region,967,559,164,27,12,225,182,2136
Queanbeyan West - Jerrabomberra,870,477,95,25,16,222,72,1780
Bombala,67,80,12,5,4,46,11,219
Cooma,249,220,33,9,13,145,44,720
Cooma Region,116,90,12,0,0,42,22,288
Jindabyne - Berridale,417,283,40,9,7,76,85,920
Batemans Bay,174,240,23,25,24,175,42,707
Batemans Bay - South,199,239,33,14,16,161,53,721
Bega - Tathra,249,286,37,5,21,194,55,849
Bega-Eden Hinterland,189,255,35,9,18,178,58,745
Broulee - Tomakin,86,103,8,4,4,40,16,269
Deua - Wadbilliga,0,0,0,0,0,0,0,0
Eden,71,103,10,9,4,79,23,308
Eurobodalla Hinterland,53,111,17,8,4,50,18,263
Merimbula - Tura Beach,276,333,42,5,19,162,52,889
Moruya - Tuross Head,188,249,23,20,13,134,45,678
Narooma - Bermagui,165,219,25,15,10,157,55,641
Goulburn,969,802,140,59,62,588,153,2773
Goulburn Region,388,420,74,21,19,210,88,1226
Yass,314,229,51,7,10,138,32,777
Yass Region,580,407,84,14,15,173,75,1348
Young,326,389,42,40,23,284,72,1169
Young Region,204,205,31,14,18,166,40,679
Avoca Beach - Copacabana,262,333,45,20,16,143,48,863
Box Head - MacMasters Beach,332,397,51,8,16,202,32,1048
Calga - Kulnura,164,136,22,4,10,99,39,471
Erina - Green Point,423,469,71,20,34,245,50,1317
Gosford - Springfield,952,748,121,63,55,550,163,2660
Kariong,300,260,44,11,14,169,25,827
Kincumber - Picketts Valley,229,274,49,14,15,126,19,729
Narara,295,272,34,21,14,174,24,833
Niagara Park - Lisarow,320,324,54,9,23,190,26,945
Point Clare - Koolewong,242,223,41,8,15,161,31,709
Saratoga - Davistown,258,300,46,8,6,149,22,790
Terrigal - North Avoca,620,536,79,22,29,266,78,1623
Umina - Booker Bay - Patonga,775,827,129,60,80,652,154,2671
Wamberal - Forresters Beach,391,447,79,0,32,183,49,1185
Woy Woy - Blackwall,489,419,91,43,38,365,78,1519
Wyoming,448,429,65,27,35,295,60,1354
Bateau Bay - Killarney Vale,798,931,144,47,75,541,131,2668
Blue Haven - San Remo,403,462,65,44,39,414,52,1486
Budgewoi - Buff Point - Halekulani,266,333,52,24,35,242,56,1008
Chittaway Bay - Tumbi Umbi,638,608,104,36,33,367,61,1843
Gorokan - Kanwal - Charmhaven,705,720,97,72,81,667,149,2491
Jilliby - Yarramalong,115,129,23,8,6,66,28,368
Lake Munmorah - Mannering Park,298,339,42,29,21,234,46,1008
Ourimbah - Fountaindale,217,200,28,12,12,120,12,600
Summerland Point - Gwandalan,185,229,27,14,17,126,24,626
The Entrance,515,516,87,57,50,416,122,1759
Toukley - Norah Head,254,323,42,20,32,273,51,1001
Tuggerah - Kangy Angy,245,232,26,16,21,158,39,731
Warnervale - Wadalba,754,687,112,31,44,475,56,2149
Wyong,299,280,33,33,27,331,69,1070
Bathurst,1017,893,144,59,57,557,151,2873
Bathurst - East,516,465,76,20,34,246,55,1411
Bathurst Region,212,206,32,4,6,105,38,609
Oberon,131,137,16,20,7,88,38,427
Condobolin,200,219,51,18,13,177,76,756
Cowra,242,288,38,27,17,226,70,912
Cowra Region,134,179,18,8,7,96,43,489
Forbes,325,340,66,25,15,209,82,1066
Grenfell,89,126,14,0,4,70,24,328
Parkes (NSW),395,378,55,24,24,311,90,1275
Parkes Region,81,90,15,9,9,72,29,303
West Wyalong,192,199,28,9,3,138,55,624
Lithgow,347,423,72,32,43,359,100,1376
Lithgow Region,236,255,47,27,7,187,103,857
Mudgee,436,495,73,29,33,345,118,1533
Mudgee Region - East,56,81,11,15,12,108,28,299
Mudgee Region - West,225,346,46,20,32,270,117,1060
Wollangambe - Wollemi,0,0,0,0,0,0,0,0
Blayney,267,273,30,16,15,181,56,847
