SA2,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Total
Braidwood,0,21,17,29,32,25,34,36,27,29,21,22,14,15,7,48,377
Karabar,6,42,23,46,59,59,78,135,122,117,127,91,52,82,4,67,1107
Queanbeyan,8,117,38,57,69,87,142,183,186,215,196,162,95,90,22,187,1855
Queanbeyan - East,3,71,20,19,31,26,64,79,66,74,80,74,36,57,7,49,768
Queanbeyan Region,0,119,42,76,61,55,75,136,176,228,270,251,137,245,63,207,2136
Queanbeyan West - Jerrabomberra,3,112,44,48,56,50,82,122,160,192,214,217,137,195,57,93,1780
Bombala,0,18,8,16,14,26,25,24,17,18,13,10,3,3,3,17,219
Cooma,0,23,29,54,44,57,89,104,87,60,37,26,17,17,11,60,720
Cooma Region,0,17,10,9,20,15,25,29,30,32,20,18,7,13,10,34,288
Jindabyne - Berridale,0,27,25,43,50,58,110,133,119,101,46,47,24,22,13,97,920
Batemans Bay,0,27,20,50,65,93,94,92,78,52,34,8,12,11,5,54,707
Batemans Bay - South,4,32,25,48,59,67,109,81,71,71,33,19,17,14,8,72,721
Bega - Tathra,0,43,32,70,57,72,115,107,76,69,53,30,24,23,0,67,849
Bega-Eden Hinterland,3,42,32,68,76,82,93,77,79,47,33,20,12,15,4,67,745
Broulee - Tomakin,0,9,10,16,22,21,20,30,30,32,15,18,3,5,3,19,269
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden,0,10,9,28,37,38,36,45,26,19,9,10,5,3,0,24,308
Eurobodalla Hinterland,5,13,8,28,25,33,33,25,27,17,14,4,4,0,0,27,263
Merimbula - Tura Beach,0,39,31,56,51,92,133,117,85,90,47,45,20,19,3,64,889
Moruya - Tuross Head,0,27,21,50,52,65,79,94,74,55,48,19,17,5,6,54,678
Narooma - Bermagui,0,29,21,46,66,68,76,79,75,52,28,13,13,4,4,59,641
Goulburn,9,155,82,176,166,216,354,357,286,285,176,147,74,72,21,191,2773
Goulburn Region,5,69,46,84,82,104,140,136,123,113,77,54,36,37,14,109,1226
Yass,4,36,28,51,43,55,62,84,62,95,71,55,37,48,11,42,777
Yass Region,3,67,31,45,62,69,102,98,121,121,118,139,92,145,46,93,1348
Young,0,56,34,94,108,126,161,147,128,76,50,39,22,24,5,91,1169
Young Region,7,33,28,64,65,56,74,80,58,51,30,24,14,17,3,58,679
Avoca Beach - Copacabana,3,68,24,65,61,57,80,68,79,102,62,60,42,34,12,51,863
Box Head - MacMasters Beach,0,74,37,75,60,71,102,108,127,103,68,60,49,47,15,46,1048
Calga - Kulnura,5,35,16,33,34,30,58,56,47,41,19,23,13,13,3,47,471
Erina - Green Point,0,105,66,99,82,100,113,130,135,130,91,72,48,51,34,70,1317
Gosford - Springfield,3,198,101,160,171,173,252,262,312,269,193,151,98,89,31,197,2660
Kariong,3,71,44,53,56,56,69,104,95,80,63,50,23,23,12,42,827
Kincumber - Picketts Valley,0,44,23,51,47,51,75,88,91,79,49,38,25,16,15,36,729
Narara,0,72,27,45,57,55,89,95,94,93,65,36,26,25,5,36,833
Niagara Park - Lisarow,4,73,36,67,48,69,116,115,112,102,63,47,38,35,3,33,945
Point Clare - Koolewong,0,60,41,44,41,46,65,62,70,67,55,50,23,39,4,36,709
Saratoga - Davistown,3,50,27,53,31,54,90,94,81,74,53,53,39,36,9,42,790
Terrigal - North Avoca,6,127,55,90,70,85,149,160,186,165,147,98,75,89,38,91,1623
Umina - Booker Bay - Patonga,11,215,95,196,214,206,306,295,281,239,148,116,56,71,27,189,2671
Wamberal - Forresters Beach,0,79,35,64,61,71,113,125,114,136,81,83,60,58,23,67,1185
Woy Woy - Blackwall,5,108,68,115,118,132,166,146,160,130,114,63,43,45,14,101,1519
Wyoming,5,109,67,89,70,94,151,158,177,134,84,73,29,32,9,75,1354
Bateau Bay - Killarney Vale,9,151,79,174,201,232,318,327,303,244,182,120,90,63,17,154,2668
Blue Haven - San Remo,3,71,53,128,134,139,211,220,163,138,68,38,23,22,0,82,1486
Budgewoi - Buff Point - Halekulani,4,64,32,75,93,102,136,129,105,88,52,27,19,13,0,66,1008
Chittaway Bay - Tumbi Umbi,10,102,83,122,95,158,213,209,213,190,141,93,62,53,15,87,1843
